name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,draft_year,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Cornell Armstrong,Cornerback,Southern Miss,Conference USA,71.0,183.0,,,,,,,22.0,3,0,1,1,1,0,0,7.0,1.0,0.0,14.0,1.0,4.5,22.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,23.0,2.0,1.0,46.0,,,,,,,,,,,,,,,,-0.5,2.0,0.0,-1.0,,,,,,,,,,,,,,,2018,8.0,0.0,0.0,35.0,0.0,1.0,47.0,,,,,,,,,,,,,,
Jermaine Kelly,Cornerback,San José State,Mountain West,72.0,191.0,,,,,,,23.0,2,0,0,0,1,1,0,12.0,0.0,0.0,46.0,1.0,1.0,53.0,,,,,,,,,,,,,,,,,,,,68.0,1.0,1.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,5.0,0.0,0.0,22.0,0.0,1.0,26.0,,,,,,,,,,,,,,
Devante Downs,Cornerback,California,Pac-12,74.0,252.0,,,,,,,22.0,4,1,1,1,1,0,0,0.0,4.0,3.0,36.0,0.0,5.5,65.0,12.0,1.0,0.0,12.0,,,,,,,,,,,,,,,,19.5,2.0,0.0,39.0,,,,,,,,,,,,,,,,4.0,2.0,1.0,8.0,4.0,6.0,2.0,0.0,8.0,,,,,,,,,,2018,2.0,1.0,2.0,42.0,0.0,3.5,83.0,,,,,,,,,,,,,,
Greg Stroman,Cornerback,Virginia Tech,ACC,71.0,182.0,4.48,16.0,33.5,113.0,,4.45,22.0,4,1,1,1,1,0,0,11.0,0.0,0.0,14.0,3.0,0.0,20.0,0.0,3.0,0.0,0.0,8.8,87.0,25.0,1.0,221.0,,,,,,,,,,,11.8,4.0,1.0,47.0,11.3,91.0,35.0,2.0,397.0,20.0,37.0,23.0,0.0,460.0,7.8,67.0,31.0,1.0,241.0,-1.0,2.0,0.0,-2.0,18.0,18.0,1.0,0.0,18.0,6.7,38.0,37.0,0.0,249.0,,,,,2018,10.0,0.0,0.0,7.0,1.0,0.0,14.0,,,,,,,,,,,,,,
Deandre Baker,Cornerback,Georgia,SEC,71.0,193.0,4.52,14.0,,118.0,,,22.0,3,0,1,1,1,0,0,9.0,1.0,0.0,31.0,0.0,2.0,40.0,12.3,3.0,0.0,37.0,,,,,,,,,,,,,,,,40.5,2.0,0.0,81.0,,,,,,,,,,,,,,,,13.5,2.0,0.0,27.0,,,,,,,,,,,,,,,2019,9.0,0.0,0.0,30.0,0.0,1.0,43.0,5.0,0.0,1.0,21.0,0.0,1.0,31.0,,,,,,,
Byron Murphy,Cornerback,Washington,Pac-12,71.0,190.0,4.55,14.0,36.5,120.0,,,21.0,2,0,1,1,0,0,0,12.0,0.0,0.0,33.0,0.0,4.0,51.0,5.7,3.0,0.0,17.0,,,,,,,,,,,,,,,,19.5,4.0,1.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,7.0,0.0,1.0,13.0,0.0,3.0,16.0,,,,,,,,,,,,,,
Rock Ya-Sin,Cornerback,Temple,American Athletic,72.0,192.0,4.51,18.0,39.5,120.0,7.31,4.31,23.0,1,0,0,0,0,1,0,12.0,0.0,0.0,36.0,0.0,2.0,47.0,,,,,,,,,,,,,,,,,,,,-0.5,2.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,
Sean Bunting,Cornerback,Central Michigan,Mid-American,72.0,195.0,4.42,14.0,41.5,126.0,,,22.0,3,0,1,1,1,0,0,5.0,0.0,0.0,26.0,0.0,3.0,37.0,3.8,5.0,0.0,19.0,,,,,,24.0,24.0,1.0,0.0,24.0,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,8.0,2.0,0.0,16.0,,,,,,,,,,,,,,,2019,5.0,0.0,0.0,34.0,0.0,0.5,49.0,5.0,0.0,0.0,12.0,0.0,0.0,18.0,,,,,,,
Trayvon Mullen,Cornerback,Clemson,ACC,74.0,199.0,4.46,,34.5,123.0,,,21.0,3,1,1,1,0,0,0,3.0,0.0,1.0,24.0,0.0,3.0,30.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,46.0,1.0,0.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,3.0,1.0,0.0,30.0,0.0,0.0,40.0,1.0,0.0,0.0,7.0,0.0,0.5,16.0,,,,,,,
Joejuan Williams,Cornerback,Vanderbilt,SEC,76.0,211.0,4.64,17.0,,,,,21.0,3,1,1,1,0,0,0,13.0,0.0,0.0,48.0,0.0,2.0,61.0,,,,,,,,,,,,,,,,,,,,2.0,4.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,10.0,0.0,0.0,33.0,0.0,2.5,39.0,2.0,0.0,0.0,14.0,0.0,1.5,19.0,,,,,,,
Greedy Williams,Cornerback,LSU,SEC,74.0,185.0,4.37,,,,,,21.0,2,0,1,1,0,0,0,9.0,1.0,0.0,23.0,0.0,0.0,33.0,5.3,6.0,0.0,32.0,,,,,,,,,,,,,,,,10.0,2.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,11.0,1.0,0.0,26.0,0.0,1.5,38.0,,,,,,,,,,,,,,
Lonnie Johnson Jr.,Cornerback,Kentucky,SEC,74.0,213.0,,,,,,,23.0,2,0,0,0,1,1,0,3.0,0.0,0.0,14.0,0.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,24.0,1.0,0.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,5.0,0.0,1.0,35.0,0.0,3.0,41.0,,,,,,,,,,,,,,
David Long,Cornerback,Michigan,Big Ten,71.0,196.0,4.45,15.0,39.5,120.0,6.45,3.97,21.0,2,0,1,1,0,0,0,5.0,0.0,0.0,10.0,0.0,0.0,17.0,52.5,2.0,0.0,105.0,,,,,,,,,,,,,,,,15.0,1.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,6.0,0.0,0.5,11.0,0.0,2.0,20.0,,,,,,,,,,,,,,
Justin Layne,Cornerback,Michigan State,Big Ten,74.0,192.0,4.5,,37.5,134.0,6.9,4.09,21.0,3,1,1,1,0,0,0,11.0,1.0,0.0,38.0,0.0,1.0,62.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,6.0,1.0,0.0,6.0,,,,,,,,,,,,,,,,43.0,1.0,1.0,43.0,,,,,,,,,,,,,,,2019,8.0,1.0,0.0,24.0,0.0,0.5,40.0,1.0,0.0,0.0,11.0,1.0,1.5,18.0,,,,,,,
Jamel Dean,Cornerback,Auburn,SEC,73.0,206.0,4.3,16.0,41.0,130.0,7.02,4.19,22.0,2,0,0,1,1,0,0,9.0,0.0,1.0,22.0,0.0,2.0,30.0,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,8.0,0.0,0.0,23.0,0.0,2.5,42.0,,,,,,,,,,,,,,
Julian Love,Cornerback,Notre Dame,FBS Independents,71.0,195.0,4.54,14.0,36.0,121.0,6.72,4.1,21.0,3,1,1,1,0,0,0,16.0,0.0,0.0,44.0,1.0,1.0,58.0,51.0,3.0,2.0,153.0,,,,,,,,,,,,,,,,4.0,1.0,0.0,4.0,,,,,,,,,,,,,,,,2.0,1.0,0.0,2.0,,,,,,,,,,,,,,,2019,17.0,0.0,0.0,37.0,2.0,0.0,57.0,3.0,1.0,0.0,32.0,0.0,2.0,45.0,,,,,,,
Kendall Sheffield,Cornerback,Ohio State,Big Ten,71.0,193.0,,,,,,,23.0,2,0,0,0,1,1,0,8.0,0.0,0.0,27.0,0.0,2.0,35.0,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,9.0,0.0,0.0,31.0,0.0,2.0,40.0,,,,,,,,,,,,,,
Iman Marshall,Cornerback,USC,Pac-12,73.0,207.0,,,,,,,22.0,4,1,1,1,1,0,0,8.0,0.0,0.0,33.0,0.0,5.5,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,0.0,12.0,,,,,,,,,,,5.0,3.0,0.0,15.0,2019,10.0,0.0,0.0,33.0,0.0,1.0,50.0,8.0,0.0,0.0,37.0,0.0,3.0,51.0,,,,,,,
Isaiah Johnson,Cornerback,Houston,American Athletic,74.0,208.0,4.4,,36.5,133.0,6.81,4.06,23.0,3,0,0,1,1,1,0,7.0,1.0,0.0,50.0,0.0,2.0,66.0,24.5,2.0,0.0,49.0,,,,,,,,,,,,,,,,22.5,2.0,0.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,7.0,0.0,0.0,34.0,0.0,0.0,45.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,,,,,,,
Amani Oruwariye,Cornerback,Penn State,Big Ten,74.0,205.0,4.47,17.0,36.5,120.0,6.82,4.16,23.0,3,0,0,1,1,1,0,11.0,0.0,0.0,39.0,0.0,1.0,50.0,4.3,4.0,0.0,17.0,,,,,,,,,,,,,,,,-0.7,3.0,0.0,-2.0,,,,,,,,,,,-13.0,0.0,2.0,0.0,-26.0,30.0,1.0,1.0,30.0,,,,,,,,,,,,,,,2019,3.0,0.0,0.0,18.0,0.0,0.0,26.0,0.0,0.0,0.0,13.0,1.0,0.0,23.0,,,,,,,
Michael Jackson,Cornerback,Miami,ACC,73.0,210.0,,,,,,,22.0,3,0,1,1,1,0,0,6.0,1.0,2.5,25.0,0.0,3.5,42.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,5.0,2.0,1.0,32.0,0.0,3.0,41.0,1.0,0.0,0.0,2.0,0.0,0.0,7.0,,,,,,,
Jordan Miller,Cornerback,Washington,Pac-12,73.0,186.0,4.49,6.0,37.0,125.0,,,22.0,4,1,1,1,1,0,0,5.0,1.0,0.0,17.0,0.0,1.0,23.0,1.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,55.0,1.0,0.0,55.0,2019,5.0,0.0,0.0,18.0,0.0,0.0,23.0,1.0,0.0,0.0,6.0,0.0,0.0,7.0,,,,,,,
Ka'dar Hollman,Cornerback,Toledo,Mid-American,72.0,196.0,,,,,,,24.0,3,0,0,0,1,1,1,12.0,0.0,0.0,32.0,0.0,0.0,42.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,2.0,1.0,0.0,2.0,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2019,7.0,0.0,0.0,26.0,0.0,0.0,35.0,8.0,0.0,0.0,25.0,0.0,0.0,33.0,,,,,,,
Xavier Crawford,Cornerback,Central Michigan,Mid-American,71.0,187.0,4.48,11.0,37.5,,,,23.0,3,0,0,1,1,1,0,12.0,0.0,0.0,18.0,0.0,3.0,24.0,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,2019,2.0,0.0,0.0,13.0,0.0,0.0,17.0,10.0,1.0,1.0,50.0,0.0,2.0,70.0,,,,,,,
Blessuan Austin,Cornerback,Rutgers,Big Ten,73.0,198.0,,15.0,,,,,23.0,4,0,1,1,1,1,0,0.0,0.0,1.0,3.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,-8.0,1.0,0.0,-8.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,50.0,1.0,1.0,50.0,2019,1.0,0.0,0.0,7.0,0.0,0.0,12.0,14.0,1.0,1.0,30.0,0.0,1.0,42.0,,,,,,,
Rashad Fenton,Cornerback,South Carolina,SEC,71.0,193.0,4.52,12.0,34.0,117.0,,4.25,22.0,4,1,1,1,1,0,0,5.0,0.0,0.0,24.0,0.0,2.5,30.0,8.0,1.0,0.0,8.0,,,,,,36.0,50.0,2.0,0.0,72.0,,,,,,5.3,3.0,0.0,16.0,,,,,,20.9,31.0,10.0,0.0,209.0,4.0,5.0,2.0,0.0,8.0,0.0,1.0,0.0,0.0,26.1,96.0,14.0,1.0,365.0,,,,,,,,,,2019,8.0,1.0,0.0,42.0,0.0,1.0,48.0,5.0,0.0,0.5,26.0,0.0,1.5,37.0,,,,,,,
Duke Shelley,Cornerback,Kansas State,Big 12,69.0,180.0,,,,,,,22.0,3,0,1,1,1,0,0,9.0,0.0,0.0,32.0,0.0,1.0,33.0,12.5,2.0,1.0,25.0,,,,,,,,,,,19.1,37.0,16.0,0.0,306.0,10.0,3.0,0.0,30.0,2.8,6.0,5.0,0.0,14.0,,,,,,,,,,,9.7,3.0,1.0,29.0,,,,,,,,,,,,,,,2019,9.0,0.0,1.0,50.0,0.0,4.0,52.0,4.0,0.0,0.0,40.0,1.0,1.0,48.0,,,,,,,
Kris Boyd,Cornerback,Texas,Big 12,72.0,201.0,4.45,19.0,36.5,127.0,6.94,4.08,22.0,4,1,1,1,1,0,0,16.0,1.0,1.0,50.0,0.0,4.5,67.0,35.0,2.0,0.0,70.0,,,,,,14.5,16.0,2.0,0.0,29.0,,,,,,0.0,1.0,0.0,0.0,,,,,,26.4,38.0,7.0,0.0,185.0,,,,,,0.0,1.0,0.0,0.0,20.6,36.0,9.0,0.0,185.0,,,,,,,,,,2019,15.0,0.0,0.0,38.0,0.0,0.5,57.0,5.0,0.0,0.0,42.0,0.0,1.5,48.0,,,,,,,
Donnie Lewis Jr.,Cornerback,Tulane,American Athletic,72.0,190.0,,,,,,,23.0,3,0,0,1,1,1,0,16.0,2.0,0.0,44.0,1.0,2.5,56.0,5.3,3.0,0.0,16.0,-1.0,-1.0,1.0,0.0,-1.0,,,,,,,,,,,16.3,3.0,1.0,49.0,,,,,,,,,,,0.5,1.0,2.0,0.0,1.0,7.0,2.0,0.0,14.0,,,,,,,,,,,,,,,2019,11.0,0.0,0.0,29.0,0.0,3.0,36.0,8.0,0.0,0.5,31.0,0.0,2.0,39.0,,,,,,,
Ken Webster,Cornerback,Ole Miss,SEC,71.0,203.0,4.43,18.0,43.0,133.0,6.85,4.14,23.0,4,0,1,1,1,1,0,6.0,0.0,0.0,26.0,0.0,1.0,33.0,,,,,,,,,,,,,,,,,,,,15.0,2.0,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,1.0,0.0,-2.0,2019,2.0,0.0,0.0,21.0,0.0,1.5,29.0,,,,,,,,,,,,,,
Jeff Okudah,Cornerback,Ohio State,Big Ten,73.0,205.0,4.48,11.0,41.0,135.0,,,21.0,3,1,1,1,0,0,0,9.0,0.0,0.0,28.0,0.0,1.0,34.0,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,8.0,0.0,0.0,24.0,0.0,0.0,32.0,1.0,0.0,0.0,12.0,0.0,0.0,17.0,,,,,,,
CJ Henderson,Cornerback,Florida,SEC,73.0,204.0,,,,,,,21.0,3,1,1,1,0,0,0,11.0,1.0,1.0,26.0,0.0,3.0,33.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,4.0,2.0,82.0,,,,,,,,,,,,,,,2020,5.0,2.0,3.0,26.0,0.0,5.5,38.0,4.0,0.0,0.0,14.0,2.0,0.0,22.0,,,,,,,
A.J. Terrell,Cornerback,Clemson,ACC,73.0,195.0,4.42,15.0,34.5,129.0,,,21.0,3,1,1,1,0,0,0,3.0,2.0,0.5,24.0,0.0,0.5,34.0,31.7,3.0,1.0,95.0,,,,,,,,,,,,,,,,32.5,2.0,0.0,65.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,2020,3.0,0.0,0.0,34.0,0.0,2.0,45.0,7.0,0.0,0.0,9.0,0.0,1.0,15.0,,,,,,,
Damon Arnette,Cornerback,Ohio State,Big Ten,72.0,195.0,4.56,,,,,,24.0,4,0,0,1,1,1,1,8.0,0.0,0.0,27.0,1.0,1.0,35.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,96.0,1.0,1.0,96.0,,,,,,,,,,,,,,,,17.5,2.0,0.0,35.0,,,,,,,,,,,0.0,1.0,0.0,0.0,2020,6.0,0.0,0.0,31.0,0.0,0.0,40.0,8.0,0.0,0.0,35.0,0.0,3.0,44.0,0.0,0.0,0.0,11.0,0.0,0.0,21.0
Noah Igbinoghene,Cornerback,Auburn,SEC,70.0,198.0,4.48,15.0,37.0,128.0,,,20.0,3,1,1,0,0,0,0,7.0,0.0,0.0,28.0,1.0,1.0,42.0,0.0,1.0,0.0,0.0,,,,,,23.8,72.0,24.0,0.0,571.0,35.2,96.0,9.0,1.0,317.0,,,,,,,,,,28.3,96.0,11.0,1.0,311.0,,,,,,,,,,,,,,,,,,,,,,,,2020,11.0,0.0,0.0,29.0,1.0,1.0,38.0,,,,,,,,,,,,,,
Jeff Gladney,Cornerback,TCU,Big 12,70.0,191.0,4.48,17.0,37.5,124.0,7.26,,23.0,4,0,1,1,1,1,0,14.0,0.0,0.5,24.0,0.0,1.5,31.0,17.0,2.0,0.0,34.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,47.0,2.0,0.0,94.0,,,,,,,,,,,,,,,2020,13.0,0.0,0.0,21.0,0.0,1.0,28.0,5.0,0.0,0.0,20.0,0.0,0.0,24.0,6.0,0.0,0.0,30.0,0.0,0.5,46.0
Jaylon Johnson,Cornerback,Utah,Pac-12,72.0,193.0,4.5,15.0,36.5,124.0,7.01,4.13,21.0,3,1,1,1,0,0,0,11.0,0.0,0.0,34.0,1.0,1.0,36.0,31.5,4.0,1.0,126.0,,,,,,,,,,,,,,,,19.5,2.0,1.0,39.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,2020,4.0,0.0,1.0,31.0,1.0,2.0,41.0,6.0,0.0,0.0,17.0,0.0,0.0,19.0,,,,,,,
Trevon Diggs,Cornerback,Alabama,SEC,73.0,205.0,,,,,,,21.0,4,1,1,1,0,0,0,8.0,0.0,0.0,20.0,2.0,0.5,37.0,0.0,1.0,0.0,0.0,,,,,,37.0,55.0,2.0,0.0,74.0,19.5,36.0,6.0,0.0,117.0,26.3,3.0,1.0,79.0,,,,,,,,,,,8.6,23.0,18.0,0.0,154.0,,,,,23.7,41.0,7.0,0.0,166.0,9.3,47.0,14.0,0.0,130.0,,,,,2020,6.0,0.0,0.0,18.0,0.0,0.0,20.0,3.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0
Kristian Fulton,Cornerback,LSU,SEC,72.0,197.0,4.46,,35.5,123.0,6.94,4.36,22.0,4,0,0,1,1,0,0,14.0,0.0,0.0,28.0,0.0,1.0,38.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,9.0,0.0,0.0,19.0,0.0,1.0,24.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Michael Ojemudia,Cornerback,Iowa,Big Ten,73.0,200.0,4.45,,36.0,122.0,6.87,4.21,22.0,4,1,1,1,1,0,0,9.0,0.0,0.0,41.0,0.0,1.0,52.0,12.7,3.0,0.0,38.0,,,,,,,,,,,,,,,,4.0,3.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,6.0,0.0,0.0,23.0,0.0,0.5,39.0,1.0,0.0,0.0,20.0,0.0,0.0,29.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0
Cameron Dantzler,Cornerback,Mississippi State,SEC,74.0,188.0,4.64,,34.5,,,,22.0,3,0,1,1,1,0,0,8.0,0.0,0.5,31.0,0.0,2.0,40.0,4.0,2.0,0.0,8.0,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,15.0,1.0,0.0,15.0,,,,,,,,,,,,,,,2020,9.0,1.0,1.0,32.0,0.0,2.0,43.0,3.0,1.0,0.0,15.0,0.0,2.0,25.0,,,,,,,
Darnay Holmes,Cornerback,UCLA,Pac-12,70.0,195.0,4.48,12.0,,,,,22.0,3,0,1,1,1,0,0,6.0,0.0,0.0,23.0,0.0,1.0,33.0,10.3,3.0,1.0,31.0,4.5,9.0,4.0,0.0,18.0,21.7,54.0,33.0,0.0,715.0,20.0,20.0,1.0,0.0,20.0,0.0,2.0,0.0,0.0,,,,,,35.8,93.0,4.0,1.0,143.0,,,,,,10.0,3.0,1.0,30.0,,,,,,,,,,,,,,,2020,7.0,1.0,0.0,36.0,2.0,1.0,47.0,3.0,0.0,0.0,29.0,1.0,1.0,39.0,,,,,,,
Troy Pride Jr.,Cornerback,Notre Dame,FBS Independents,72.0,193.0,,,,,,,22.0,4,1,1,1,1,0,0,6.0,0.0,0.0,27.0,0.0,0.0,40.0,0.5,2.0,0.0,1.0,,,,,,,,,,,,,,,,39.0,1.0,0.0,39.0,,,,,,,,,,,,,,,,-5.0,1.0,0.0,-5.0,,,,,,-2.0,-2.0,1.0,0.0,-2.0,,,,,2020,10.0,0.0,0.0,36.0,0.0,1.5,46.0,2.0,0.0,0.0,13.0,0.0,1.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,12.0
Reggie Robinson II,Cornerback,Tulsa,American Athletic,73.0,205.0,4.44,22.0,36.0,132.0,7.09,4.18,23.0,4,0,1,1,1,1,0,13.0,0.0,0.0,26.0,0.0,1.0,38.0,,,,,,,,,,,,,,,,,,,,9.3,3.0,0.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,5.0,0.0,0.0,13.0,0.0,0.0,19.0,9.0,0.0,0.0,32.0,0.0,2.5,38.0,7.0,0.0,0.0,30.0,0.0,0.5,37.0
Josiah Scott,Cornerback,Michigan State,Big Ten,69.0,185.0,4.42,17.0,,,,,21.0,3,1,1,1,0,0,0,7.0,0.0,0.0,38.0,0.0,0.0,55.0,6.0,2.0,0.0,12.0,,,,,,,,,,,,,,,,11.3,3.0,0.0,34.0,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,2020,7.0,0.0,0.0,5.0,0.0,1.0,10.0,10.0,0.0,0.0,21.0,0.0,1.0,30.0,,,,,,,
Amik Robertson,Cornerback,Louisiana Tech,Conference USA,68.0,187.0,,,,,,,22.0,3,0,1,1,1,0,0,16.0,1.0,1.0,44.0,3.0,8.0,60.0,6.8,4.0,0.0,27.0,,,,,,,,,,,30.0,30.0,1.0,1.0,30.0,19.4,5.0,2.0,97.0,-3.0,0.0,2.0,0.0,-6.0,,,,,,,,,,,28.2,5.0,1.0,141.0,,,,,,,,,,,,,,,2020,11.0,3.0,1.0,38.0,0.0,7.5,54.0,6.0,0.0,2.0,51.0,1.0,7.5,62.0,,,,,,,
John Reid,Cornerback,Penn State,Big Ten,70.0,187.0,4.49,20.0,36.5,129.0,6.95,3.97,24.0,4,0,0,1,1,1,1,8.0,1.0,1.0,26.0,1.0,2.5,37.0,22.0,2.0,0.0,44.0,,,,,,,,,,,,,,,,30.5,2.0,1.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,7.5,59.0,22.0,0.0,166.0,14.0,1.0,0.0,14.0,2020,8.0,2.0,0.0,17.0,0.0,1.0,24.0,,,,,,,,7.0,0.0,0.5,22.0,0.0,5.0,35.0
Bryce Hall,Cornerback,Virginia,ACC,73.0,202.0,,11.0,,,,,22.0,4,1,1,1,1,0,0,4.0,0.0,1.0,13.0,0.0,3.0,20.0,9.5,2.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,1.0,0.0,36.0,,,,,,,,,,,-2.0,2.0,0.0,-4.0,2020,21.0,0.0,2.0,39.0,0.0,3.5,62.0,9.0,0.0,1.0,29.0,0.0,3.0,47.0,4.0,0.0,0.0,17.0,0.0,0.0,25.0
Kindle Vildor,Cornerback,Georgia Southern,Sun Belt,70.0,191.0,4.44,22.0,39.5,133.0,7.14,4.28,22.0,4,1,1,1,1,0,0,6.0,0.0,0.0,23.0,0.0,3.0,27.0,9.0,4.0,0.0,36.0,,,,,,,,,,,,,,,,-26.0,2.0,0.0,-52.0,,,,,,,,,,,,,,,,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,2020,12.0,0.0,0.0,31.0,0.0,4.5,42.0,7.0,0.0,1.0,15.0,0.0,1.5,20.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0
Harrison Hand,Cornerback,Temple,American Athletic,71.0,197.0,4.52,14.0,41.0,133.0,7.15,4.27,21.0,3,1,1,1,0,0,0,5.0,0.0,0.0,43.0,0.0,4.0,59.0,,,,,,,,,,,,,,,,,,,,2.7,3.0,0.0,8.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,2020,2.0,0.0,0.0,10.0,0.0,1.0,11.0,8.0,0.0,0.0,31.0,0.0,0.5,42.0,,,,,,,
