name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_rushing_CAR,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,draft_year,Y0_conf_prestige,Y1_conf_prestige,Y2_conf_prestige,Y3_conf_prestige,conference_prestige
Caullin Lacy,Wide Receiver,Louisville,American Athletic,0.18181818181818182,0.3373493975903614,0.2141182115467056,,0.2903225806451613,0.2,,,2,0,0,0,0,0,0,0.047619047619047616,0.0,0.03155818540433925,0.18125,0.3378864126527678,0.06688963210702341,0.2314321122863648,0.21118012422360244,0.11926605504587157,0.05,0.0779976717112922,0.16766467065868265,0.029069767441860465,0.14285714285714285,0.03002729754322111,0.35604395604395606,,,,,,,,,,,,,,,,,2026,0.55,0.55,,,0.55
Kaden Wetjen,Wide Receiver,Iowa,Big Ten,0.18181818181818182,0.4578313253012048,0.44618256527811456,,0.41935483870967744,,0.5069585663109544,0.11843316516365636,3,0,0,0,0,0,0,0.047619047619047616,0.09523809523809523,0.04437869822485207,0.20375000000000001,0.0503235082674335,0.033444816053511704,0.022192120356226763,0.024844720496894374,-0.01834862385321101,0.0,-0.009313154831199068,0.4311377245508982,0.023255813953488372,0.0,0.04094631483166515,0.4461538461538462,,,,,0.028985507246376812,0.0,0.023529411764705882,0.14942528735632185,,,,,,,,,2026,1.0,1.0,1.0,,1.0
Dillon Bell,Wide Receiver,Georgia,SEC,0.5454545454545454,0.6506024096385542,0.34642444835810926,,0.6451612903225806,0.5333333333333333,,,4,0,0,0,0,0,0,0.05442176870748299,0.09523809523809523,0.05917159763313609,0.21749999999999997,0.100647016534867,0.06688963210702341,0.07277286220710724,0.16770186335403725,0.3486238532110092,0.2,0.2351571594877765,0.16167664670658685,0.05232558139534884,0.14285714285714285,0.10828025477707007,0.5252747252747253,0.2543859649122807,0.13333333333333333,0.2403581267217631,0.5083333333333333,0.18115942028985507,0.18181818181818182,0.13865546218487396,0.16436781609195403,0.2345679012345679,0.3333333333333333,0.19300106044538706,0.2,,,,,2026,1.0,1.0,1.0,1.0,1.0
Cyrus Allen,Wide Receiver,Cincinnati,Big 12,0.36363636363636365,0.30120481927710846,,,,,,,2,0,0,0,0,0,0,0.023809523809523808,0.047619047619047616,0.022189349112426034,0.19125,0.26599568655643424,0.4013377926421404,0.2422399631092025,0.3726708074534161,0.11926605504587157,0.05,0.12048894062863795,0.40718562874251496,,,,,,,,,,,,,,,,,,,,,2026,0.9,1.0,,,0.9
Jordan Hudson,Wide Receiver,SMU,American Athletic,0.5454545454545454,0.43373493975903615,,,,,,,4,0,0,0,0,0,0,0.0,0.0,0.008382642998027613,0.2125,0.34507548526240117,0.2006688963210702,0.2880652505980344,0.33540372670807445,0.3119266055045872,0.25,0.20954598370197905,0.16167664670658685,0.005813953488372093,0.0,0.018198362147406732,0.43956043956043955,,,,,,,,,0.16049382716049382,0.3333333333333333,0.18663838812301167,0.268,,,,,2026,0.55,0.55,,0.9,0.55
Donaven McCulley,Wide Receiver,Michigan,Big Ten,0.8181818181818182,0.5783132530120482,,,,,,,4,0,0,0,0,0,0,0.003401360544217687,0.0,0.007889546351084813,0.16875,0.1869158878504673,0.1003344481605351,0.2111133527394299,0.4906832298136645,0.3944954128440367,0.3,0.33876600698486614,0.31736526946107785,0.01744186046511628,0.0,0.010009099181073703,0.2571428571428571,0.42105263157894735,0.4,0.4393939393939394,0.5583333333333333,0.021739130434782608,0.0,0.0058823529411764705,0.08850574712643679,0.18518518518518517,0.1111111111111111,0.18133616118769882,0.23199999999999998,0.010869565217391304,0.08333333333333333,0.01079414032382421,0.049999999999999996,2026,1.0,1.0,1.0,1.0,1.0
Lewis Bond,Wide Receiver,Boston College,ACC,0.2727272727272727,0.5301204819277109,,,,,,,4,0,0,0,0,0,0,0.01020408163265306,0.0,0.006903353057199211,0.14750000000000002,0.5463695183321352,0.033444816053511704,0.39354987462893043,0.25465838509316774,0.5688073394495413,0.15,0.3649592549476135,0.13173652694610782,0.01744186046511628,0.0,0.014558689717925387,0.2923076923076923,0.45614035087719296,0.4666666666666667,0.44077134986225897,0.5166666666666667,0.007246376811594203,0.0,0.008403361344537815,0.11494252873563218,0.04938271604938271,0.0,0.05620360551431601,0.22399999999999998,,,,,2026,0.9,0.9,0.9,0.9,0.9
Hank Beatty,Wide Receiver,Illinois,Big Ten,0.2727272727272727,0.3614457831325301,,,,,,,4,0,0,0,0,0,0,0.01020408163265306,0.047619047619047616,0.028106508875739646,0.28125,0.4097771387491014,0.1003344481605351,0.3304320258235582,0.3167701863354037,0.13761467889908258,0.05,0.1350407450523865,0.39520958083832325,0.005813953488372093,0.0,0.020928116469517744,0.5054945054945055,0.07017543859649122,0.0,0.040633608815427,0.33749999999999997,,,,,0.07407407407407407,0.0,0.02863202545068929,0.092,,,,,2026,1.0,1.0,1.0,1.0,1.0
Nic Anderson,Wide Receiver,LSU,SEC,0.8181818181818182,0.7349397590361446,,,,,,,3,0,0,0,0,0,0,,,,,-0.007189072609633357,0.06688963210702341,0.00273798887511889,0.09937888198757766,,,,,,,,,0.3333333333333333,0.6666666666666666,0.5454545454545454,0.875,,,,,,,,,,,,,2026,1.0,,1.0,,1.0
Keelan Marion,Wide Receiver,Miami (FL),,0.45454545454545453,0.4819277108433735,,,,,,,3,0,0,0,0,0,0,0.01020408163265306,0.0,0.01775147928994083,0.21625,0.3163191948238677,0.06688963210702341,0.27941896993976423,0.36645962732919246,0.1743119266055046,0.05,0.16530849825378346,0.3772455089820359,0.12209302325581395,0.2857142857142857,0.09827115559599636,0.36483516483516487,0.17543859649122806,0.0,0.1446280991735537,0.45,0.06521739130434782,0.2727272727272727,0.040336134453781515,0.1425287356321839,,,,,,,,,2026,0.9,0.9,0.9,,0.15
Noah Thomas,Wide Receiver,Georgia,SEC,0.9090909090909091,0.5421686746987951,,,,,,,4,0,0,0,0,0,0,,,,,0.021567217828900073,0.13377926421404682,0.06672046574631812,0.5403726708074533,0.3119266055045872,0.4,0.2980209545983702,0.39520958083832325,0.023255813953488372,0.0,0.0272975432211101,0.3626373626373626,0.2543859649122807,0.3333333333333333,0.24311294765840222,0.5166666666666667,,,,,0.04938271604938271,0.2222222222222222,0.05620360551431601,0.22399999999999998,,,,,2026,1.0,1.0,1.0,1.0,1.0
O'Mega Blake,Wide Receiver,Arkansas,SEC,0.5454545454545454,0.3855421686746988,,,,,,,4,0,0,0,0,0,0,,,,,0.3163191948238677,0.16722408026755853,0.2854713664005533,0.37888198757763975,,,,,,,,,0.16666666666666666,0.13333333333333333,0.16804407713498623,0.5499999999999999,,,,,0.0,0.0,0.003181336161187699,0.04,,,,,2026,1.0,,1.0,1.0,1.0
Jacob De Jesus,Wide Receiver,Cal,,0.0,0.18072289156626506,,,,,,,1,0,0,0,0,0,0,0.02040816326530612,0.0,0.004930966469428008,0.13625,0.6757728253055356,0.2006688963210702,0.39873764302389253,0.1490683229813664,,,,,,,,,,,,,,,,,,,,,,,,,2026,0.9,,,,0.15
Romello Brinson,Wide Receiver,SMU,American Athletic,0.6363636363636364,0.42168674698795183,,,,,,,4,0,0,0,0,0,0,0.0,0.0,0.0073964497041420114,0.1875,0.21567217828900073,0.1003344481605351,0.23272905438510533,0.4720496894409938,0.08256880733944955,0.0,0.0459837019790454,0.11976047904191615,,,,,,,,,,,,,0.07407407407407407,0.0,0.1071049840933192,0.302,0.0036231884057971015,0.0,-0.0015420200462606013,-0.029069767441860465,2026,0.55,0.55,,0.9,0.55
Chris Hilton Jr.,Wide Receiver,LSU,SEC,0.45454545454545453,0.39759036144578314,,,,,,,4,0,0,0,0,0,0,,,,,-0.021567217828900073,0.0,0.009655013401735022,0.31055900621118004,0.03669724770642202,0.15,0.10535506402793947,1.1317365269461075,,,,,0.11403508771929824,0.13333333333333333,0.15082644628099173,0.7208333333333333,,,,,0.06172839506172839,0.0,0.10604453870625663,0.34600000000000003,,,,,2026,1.0,1.0,1.0,1.0,1.0
Dane Key,Wide Receiver,Nebraska,Big Ten,0.6363636363636364,0.6626506024096386,,,,,,,4,0,0,0,0,0,0,,,,,0.1869158878504673,0.16722408026755853,0.15231864426319278,0.27329192546583847,0.3853211009174312,0.1,0.380093131548312,0.4251497005988023,,,,,0.3684210526315789,0.4,0.43388429752066116,0.6291666666666667,,,,,0.4444444444444444,0.6666666666666666,0.5524920466595971,0.3,0.0,0.0,0.005397070161912105,0.011627906976744186,2026,1.0,1.0,1.0,1.0,1.0
