name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_college,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_college,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC
Dylan Cantrell,Wide Receiver,Texas Tech,Big 12,75.0,226.0,4.59,18.0,38.5,130.0,6.56,4.03,24.0,4,0,0,1,1,1,1,Texas Tech,,,,Texas Tech,,,,,,42.0,71.0,7.0,816.0,11.5,1.0,3.0,1.0,3.0,3.0,54.0,58.0,8.0,675.0,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Texas Tech,40.0,20.0,2.0,312.0,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell Gage,Wide Receiver,LSU,SEC,72.0,183.0,,,,,,,22.0,2,0,0,1,1,0,0,LSU,1.0,0.0,1.0,LSU,,,,,,34.0,21.0,3.0,285.0,13.6,28.0,70.0,1.0,232.0,8.3,24.0,5.0,1.0,62.0,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equanimeous St. Brown,Wide Receiver,Notre Dame,FBS Independents,77.0,214.0,,,,,,,21.0,3,1,1,1,0,0,0,Notre Dame,,,,Notre Dame,,,,,,75.0,33.0,4.0,515.0,15.6,,,,,,79.0,58.0,9.0,961.0,16.6,,,,,,Notre Dame,,,,,,8.0,1.0,0.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,18.0,1.0,0.0,18.0,,,,,,,,,,,1.0,1.0,0.0
Cedrick Wilson,Wide Receiver,Boise State,Mountain West,74.0,188.0,4.55,9.0,37.0,121.0,6.89,4.23,22.0,2,0,0,1,1,0,0,Boise State,,,,Boise State,13.2,73.0,10.0,0.0,132.0,65.0,83.0,7.0,1511.0,18.2,9.0,9.0,0.0,13.0,1.4,75.0,56.0,11.0,1129.0,20.2,3.0,6.0,0.0,7.0,2.3,,,,,,,,,,,,,,,,,25.8,55.0,18.0,0.0,465.0,,,,,,,,,,,,,,,,,21.3,44.0,13.0,0.0,277.0,,,,,,,,,,,,,,,,4.0,0.0,0.0
Braxton Berrios,Wide Receiver,Miami,ACC,69.0,184.0,,11.0,,,,,22.0,4,1,1,1,1,0,0,Miami,,,,Miami,11.3,43.0,19.0,1.0,215.0,55.0,54.0,9.0,670.0,12.4,1.0,9.0,0.0,9.0,9.0,38.0,12.0,2.0,178.0,14.8,,,,,,Miami,20.0,20.0,1.0,0.0,20.0,14.0,12.0,0.0,86.0,7.2,4.0,60.0,0.0,72.0,18.0,,,,,,Miami,33.0,21.0,3.0,232.0,11.0,,,,,,15.9,44.0,13.0,0.0,207.0,20.0,32.0,2.0,0.0,40.0,4.2,20.0,11.0,0.0,46.0,,,,,,5.0,14.0,4.0,0.0,20.0,,,
Javon Wims,Wide Receiver,Georgia,SEC,75.0,215.0,4.53,,33.5,113.0,7.0,,23.0,2,0,0,0,1,1,0,Georgia,,,,Georgia,,,,,,38.0,46.0,7.0,724.0,15.7,,,,,,51.0,17.0,1.0,190.0,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcell Ateman,Wide Receiver,Oklahoma State,Big 12,77.0,216.0,4.62,13.0,34.0,121.0,7.07,4.25,23.0,4,0,1,1,1,1,0,Oklahoma State,1.0,0.0,0.0,,,,,,,69.0,59.0,8.0,1156.0,19.6,,,,,,,,,,,,,,,,Oklahoma State,,,,,,82.0,45.0,5.0,766.0,17.0,1.0,1.0,0.0,1.0,1.0,,,,,,Oklahoma State,43.0,20.0,0.0,268.0,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richie James,Wide Receiver,Middle Tennessee,Conference USA,70.0,185.0,4.48,6.0,35.5,122.0,6.87,4.16,23.0,3,0,0,1,1,1,0,Middle Tennessee,1.0,0.0,0.0,Middle Tennessee,7.5,27.0,17.0,0.0,128.0,31.0,31.0,3.0,290.0,9.4,10.0,22.0,0.0,57.0,5.7,56.0,105.0,12.0,1625.0,15.5,38.0,36.0,4.0,339.0,8.9,Middle Tennessee,18.0,18.0,1.0,0.0,18.0,69.0,108.0,8.0,1346.0,12.5,12.0,46.0,1.0,146.0,12.2,,,,,,,,,,,,,,,,,5.3,20.0,7.0,0.0,37.0,21.5,29.0,2.0,0.0,43.0,,,,,,,,,,,,,,,,3.0,1.0,0.0
Auden Tate,Wide Receiver,Florida State,ACC,77.0,228.0,4.68,,31.0,112.0,,,21.0,2,0,1,1,0,0,0,Florida State,,,,Florida State,,,,,,51.0,40.0,10.0,548.0,13.7,,,,,,39.0,25.0,6.0,409.0,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0
Austin Proehl,Wide Receiver,North Carolina,ACC,69.0,175.0,,,,,,,22.0,4,1,1,1,1,0,0,North Carolina,1.0,1.0,0.0,North Carolina,28.0,28.0,1.0,0.0,28.0,47.0,21.0,1.0,337.0,16.0,,,,,,46.0,43.0,3.0,597.0,13.9,,,,,,North Carolina,,,,,,61.0,12.0,1.0,225.0,18.8,1.0,4.0,0.0,4.0,4.0,,,,,,North Carolina,20.0,15.0,0.0,106.0,7.1,1.0,0.0,0.0,0.0,0.0,9.8,17.0,5.0,0.0,49.0,,,,,,,,,,,,,,,,,,,,,,,
Trey Quinn,Wide Receiver,SMU,American Athletic,71.0,203.0,4.55,17.0,33.5,116.0,6.91,4.19,22.0,4,1,1,1,1,0,0,SMU,,,,,,,,,,77.0,114.0,13.0,1236.0,10.8,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,LSU,,,,,,46.0,5.0,0.0,83.0,16.6,,,,,,22.6,32.0,5.0,0.0,113.0,LSU,27.0,17.0,0.0,193.0,11.4,2.0,9.0,0.0,11.0,5.5,2.6,8.0,5.0,0.0,13.0,,,,,,,,,,,,,,,,7.0,7.0,1.0,0.0,7.0,,,
