name,position,draft_year,college,games,w_av,av_per_game,pct_of_top,success_score
Terrace Marshall Jr.,WR,2021,LSU,43.0,6.0,0.13953488372093023,0.0,0.09541759651300741
Equanimeous St. Brown,WR,2018,Notre Dame,62.0,8.0,0.12903225806451613,0.0312,0.09407173894759685
Scott Miller,WR,2019,Bowling Green,93.0,11.0,0.11827956989247312,0.0411,0.08697831202021764
Ben Skowronek,WR,2021,Notre Dame,72.0,8.0,0.1111111111111111,0.063,0.08625213906128285
Trey Quinn,WR,2018,SMU,16.0,2.0,0.125,0.0081,0.08448660662058569
Cedrick Wilson Jr.,WR,2018,Boise St.,93.0,11.0,0.11827956989247312,0.03,0.08415938261594359
Justin Watson,WR,2018,Pennsylvania,93.0,11.0,0.11827956989247312,0.0092,0.07898940910970734
Lynn Bowden Jr.,WR,2020,Kentucky,26.0,3.0,0.11538461538461539,0.0,0.07434559514837186
Marcell Ateman,WR,2018,Oklahoma St.,19.0,2.0,0.10526315789473684,0.0342,0.07416976873650738
Skyy Moore,WR,2022,Western Michigan,53.0,5.0,0.09433962264150944,0.0621,0.0718453674660227
John Metchie,WR,2022,Alabama,45.0,5.0,0.1111111111111111,0.0,0.07085678048348905
David Bell,WR,2022,Purdue,32.0,3.0,0.09375,0.0418,0.06666281089899918
Riley Ridley,WR,2019,Georgia,10.0,1.0,0.1,0.0,0.06210052106884441
Trent Taylor,WR,2017,Louisiana Tech,80.0,7.0,0.0875,0.0338,0.060033271732813066
Andy Isabella,WR,2019,Massachusetts,43.0,4.0,0.09302325581395349,0.0131,0.05967420807493603
Miles Boykin,WR,2019,Notre Dame,73.0,6.0,0.0821917808219178,0.036,0.05652669584610529
Dyami Brown,WR,2021,North Carolina,77.0,7.0,0.09090909090909091,0.0,0.055259757618611766
Velus Jones Jr.,WR,2022,Tennessee,37.0,3.0,0.08108108108108109,0.0328,0.055020014039962276
Samori Toure,WR,2022,Nebraska,23.0,2.0,0.08695652173913043,0.0075,0.05395326046102584
Collin Johnson,WR,2020,Texas,38.0,3.0,0.07894736842105263,0.0313,0.05314077976037945
Ihmir Smith-Marsette,WR,2021,Iowa,48.0,4.0,0.08333333333333333,0.0076,0.05134658838444631
Anthony Schwartz,WR,2021,Auburn,25.0,2.0,0.08,0.0072,0.04888445545345357
D'Wayne Eskridge,WR,2021,Western Michigan,43.0,3.0,0.06976744186046512,0.0352,0.04738949687701689
Ryan Switzer,WR,2017,North Carolina,41.0,3.0,0.07317073170731707,0.0093,0.044539006121040635
Deon Cain,WR,2018,Clemson,15.0,1.0,0.06666666666666667,0.03,0.04419010571294095
John Hightower,WR,2020,Boise St.,14.0,1.0,0.07142857142857142,0.0073,0.04294800456323387
Amara Darboh,WR,2017,Michigan,16.0,1.0,0.0625,0.0342,0.042175893281867397
Chad Williams,WR,2017,Grambling St.,17.0,1.0,0.058823529411764705,0.0383,0.040497023751345916
ArDarius Stewart,WR,2017,Alabama,15.0,1.0,0.06666666666666667,0.0076,0.03979357532391693
Tremon Smith,WR,2018,Central Arkansas,117.0,8.0,0.06837606837606838,0.0,0.03946512197202944
Amari Rodgers,WR,2021,Clemson,35.0,2.0,0.05714285714285714,0.0313,0.038029225045462904
James Proche,WR,2020,SMU,71.0,4.0,0.056338028169014086,0.0337,0.03795695855779153
JJ Arcega-Whiteside,WR,2019,Stanford,40.0,2.0,0.05,0.0,0.027701799628229804
K.J. Hill,WR,2020,Ohio St.,21.0,1.0,0.047619047619047616,0.0061,0.02732496188800682
Josh Malone,WR,2017,Tennessee,26.0,1.0,0.038461538461538464,0.0362,0.027057102672258283
Juwann Winfree,WR,2019,Colorado,23.0,1.0,0.043478260869565216,0.0082,0.02517530896854886
Dax Milne,WR,2021,BYU,28.0,1.0,0.03571428571428571,0.0328,0.024791070962743685
Tylan Wallace,WR,2021,Oklahoma St.,68.0,3.0,0.04411764705882353,0.0,0.024130649646989976
Simi Fehoko,WR,2021,Stanford,32.0,1.0,0.03125,0.0313,0.02187142740231943
Javon Wims,WR,2018,Georgia,34.0,1.0,0.029411764705882353,0.0092,0.01709574347985011
Dareke Young,WR,2022,Lenoir-Rhyne,42.0,0.0,0.0,0.0448,0.006645143421669256
Stacy Coley,WR,2017,Miami (FL),7.0,0.0,0.0,0.0383,0.005658937594513801
Shelton Gibson,WR,2017,West Virginia,20.0,0.0,0.0,0.0362,0.005341948687040473
Jehu Chesson,WR,2017,Michigan,24.0,0.0,0.0,0.0353,0.0052063389807826465
Erik Ezukanma,WR,2022,Texas Tech,5.0,0.0,0.0,0.0347,0.005116013250763853
Robert Davis,WR,2017,Georgia St.,7.0,0.0,0.0,0.0342,0.0050407910987073645
Mike Strachan,WR,2021,Charleston (WV),23.0,0.0,0.0,0.0332,0.004890481072173813
Frank Darby,WR,2021,Arizona St.,16.0,0.0,0.0,0.0324,0.004770361801304137
Montrell Washington,WR,2022,Samford,22.0,0.0,0.0,0.0309,0.004545446097058646
Tyrie Cleveland,WR,2020,Florida,23.0,0.0,0.0,0.0307,0.0045154876431446524
Daurice Fountain,WR,2018,Northern Iowa,8.0,0.0,0.0,0.0307,0.0045154876431446524
Jalen Camp,WR,2021,Georgia Tech,5.0,0.0,0.0,0.0303,0.004455592104596903
Jacob Harris,WR,2021,Central Florida,18.0,0.0,0.0,0.0303,0.004455592104596903
Antonio Gandy-Golden,WR,2020,Liberty,10.0,0.0,0.0,0.0286,0.00420135354914938
Dez Fitzpatrick,WR,2021,Louisville,7.0,0.0,0.0,0.0089,0.0012922424494375597
Jaelon Darden,WR,2021,North Texas,36.0,0.0,0.0,0.0085,0.0012338730240420905
J'Mon Moore,WR,2018,Missouri,12.0,0.0,0.0,0.0076,0.00110264239337914
Marquez Stevenson,WR,2021,Houston,5.0,0.0,0.0,0.0076,0.00110264239337914
Dezmon Patmon,WR,2020,Washington St.,10.0,0.0,0.0,0.0076,0.00110264239337914
Danny Gray,WR,2022,SMU,13.0,0.0,0.0,0.0075,0.0010880698021661726
Racey McMath,WR,2021,LSU,14.0,0.0,0.0,0.0072,0.0010443623294695784
Joe Reed,WR,2020,Virginia,11.0,0.0,0.0,0.0061,0.0008842336877780225
Michael Woods II,WR,2022,Oklahoma,15.0,0.0,0.0,0.0,0.0
