name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Kahale Warring,Tight End,San Diego State,Mountain West,77.0,252.0,4.67,19.0,36.5,122.0,7.21,4.25,22.0,3,0,1,1,1,0,0,,,,30.0,31.0,3.0,372.0,12.0,,,,,,42.0,18.0,3.0,248.0,13.8,,,,,,12.0,2.0,2.0,17.0,8.5,,,,,,,,,,,,,,,,2019,,,,,,,,,
Dawson Knox,Tight End,Ole Miss,SEC,76.0,254.0,,16.0,34.5,,7.12,4.27,22.0,2,0,0,1,1,0,0,,,,48.0,14.0,0.0,278.0,19.9,,,,,,40.0,24.0,0.0,321.0,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,2019,1.0,1.0,0.0,,,,,,
Trevon Wesco,Tight End,West Virginia,Big 12,76.0,267.0,4.89,24.0,31.0,117.0,7.18,4.38,23.0,3,0,0,1,1,1,0,,,,43.0,26.0,1.0,366.0,14.1,1.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,,,,,,6.0,1.0,1.0,6.0,6.0,,,,,,,,,,,,,,,,2019,,,,,,,,,
Foster Moreau,Tight End,LSU,SEC,76.0,253.0,4.66,22.0,36.5,121.0,7.16,4.11,22.0,4,1,1,1,1,0,0,,,,24.0,22.0,2.0,272.0,12.4,,,,,,60.0,24.0,3.0,278.0,11.6,,,,,,31.0,6.0,1.0,79.0,13.2,,,,,,,,,,,,,,,,2019,,,,,,,,,
Zach Gentry,Tight End,Michigan,Big Ten,80.0,265.0,4.9,12.0,29.5,110.0,7.4,4.53,22.0,2,0,0,1,1,0,0,,,,42.0,32.0,2.0,514.0,16.1,,,,,,36.0,17.0,2.0,303.0,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,
Kaden Smith,Tight End,Stanford,Pac-12,77.0,255.0,4.92,15.0,32.0,108.0,7.08,4.47,22.0,2,0,0,1,1,0,0,,,,36.0,47.0,2.0,635.0,13.5,,,,,,54.0,23.0,5.0,414.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,2019,1.0,0.0,0.0,,,,,,
Isaac Nauta,Tight End,Georgia,SEC,75.0,244.0,4.91,19.0,28.0,,7.45,4.43,22.0,3,0,1,1,1,0,0,0.0,0.0,1.0,55.0,30.0,3.0,430.0,14.3,0.0,31.0,1.0,31.0,0.0,41.0,9.0,2.0,114.0,12.7,,,,,,50.0,29.0,3.0,361.0,12.4,,,,,,,,,,,,,,,,2019,,,,,,,,,
Tommy Sweeney,Tight End,Boston College,ACC,77.0,251.0,4.83,17.0,,,,,24.0,4,0,0,1,1,1,1,,,,37.0,32.0,3.0,348.0,10.9,,,,,,48.0,36.0,4.0,512.0,14.2,,,,,,24.0,26.0,3.0,353.0,13.6,,,,,,22.0,5.0,0.0,68.0,13.6,,,,,,2019,,,,2.0,1.0,0.0,,,
Alize Mack,Tight End,Notre Dame,FBS Independents,76.0,249.0,4.7,22.0,36.0,120.0,7.27,4.34,22.0,4,1,1,1,1,0,0,,,,47.0,36.0,3.0,360.0,10.0,,,,,,32.0,19.0,1.0,166.0,8.7,,,,,,,,,,,,,,,,45.0,13.0,0.0,190.0,14.6,,,,,,2019,,,,,,,,,
Caleb Wilson,Tight End,UCLA,Pac-12,76.0,240.0,4.56,,29.0,113.0,7.2,4.4,23.0,3,0,0,1,1,1,0,,,,66.0,60.0,4.0,965.0,16.1,1.0,4.0,0.0,4.0,4.0,31.0,38.0,1.0,490.0,12.9,,,,,,35.0,16.0,0.0,220.0,13.8,,,,,,,,,,,,,,,,2019,,,,,,,,,
