name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,draft_year,conference_prestige
Jordan Thomas,Tight End,Mississippi State,SEC,0.6666666666666666,0.8611111111111112,0.5559977581104663,0.0,0.7586206896551724,0.6153846153846154,1.0,1.0,0.3333333333333333,2,0,0,1,1,0,0,0.2,0.1875,0.20481927710843373,0.36800000000000005,,,,,0.10174880763116058,0.06837606837606838,0.041995532390171265,0.20772946859903382,,,,,,,,,,,,,,,,,,,,,2018,1.0
Ryan Izzo,Tight End,Florida State,ACC,0.5,0.6111111111111112,0.0,0.6363636363636364,0.41379310344827586,0.07692307692307693,0.3319353139264989,0.34690973065790576,0.3333333333333333,4,1,1,1,1,0,0,0.17647058823529413,0.1875,0.2548656163113994,0.68,,,,,0.2289348171701113,0.06837606837606838,0.2019359642591214,0.5265700483091788,,,,,0.26,0.18181818181818182,0.29624277456647397,0.4807692307692307,,,,,0.0,0.0,0.002242152466367713,0.058823529411764705,,,,,2018,0.9
T.J. Hockenson,Tight End,Iowa,Big Ten,0.5,0.4722222222222222,0.3501964086836398,0.5909090909090909,0.7241379310344828,0.5769230769230769,0.6844525080950853,0.8934706156037987,0.3333333333333333,2,0,0,1,1,0,0,0.5176470588235295,0.375,0.6561631139944393,0.6320000000000001,0.09090909090909091,1.0,0.057971014492753624,0.057971014492753624,0.29252782193958665,0.20512820512820512,0.2850335070737156,0.5942028985507247,,,,,,,,,,,,,,,,,,,,,2019,1.0
Noah Fant,Tight End,Iowa,Big Ten,0.3333333333333333,0.4166666666666667,0.911965314528498,0.7272727272727273,0.8620689655172413,0.7307692307692307,0.9051005476270512,0.855204024565891,0.16666666666666666,3,1,1,1,0,0,0,0.4,0.4375,0.4411492122335496,0.4720000000000001,0.18181818181818182,0.0,0.014492753623188406,0.007246376811594203,0.3688394276629571,0.7521367521367521,0.4405063291139241,0.748792270531401,0.25,0.0,0.0743801652892562,0.125,0.16,0.09090909090909091,0.09393063583815028,0.1346153846153846,,,,,,,,,,,,,2019,1.0
Irv Smith Jr.,Tight End,Alabama,SEC,0.0,0.2222222222222222,,,,,,,0.16666666666666666,2,0,1,1,0,0,0,0.4588235294117647,0.4375,0.6190917516218721,0.6960000000000002,,,,,0.16534181240063592,0.20512820512820512,0.11347728965003724,0.391304347826087,,,,,,,,,,,,,,,,,,,,,2019,1.0
Drew Sample,Tight End,Washington,Pac-12,0.5,0.5833333333333334,0.3202368182160446,,0.4482758620689655,0.2692307692307692,0.3319353139264989,0.7112005544139038,0.5,4,0,1,1,1,1,0,0.2235294117647059,0.1875,0.1881371640407785,0.22399999999999995,,,,,0.07631160572337042,0.0,0.07416232315711095,0.5314009661835749,,,,,0.16,0.0,0.14595375722543352,0.3269230769230769,,,,,0.11764705882352941,0.3333333333333333,0.08744394618834081,0.17647058823529413,,,,,2019,0.9
Josh Oliver,Tight End,San José State,Mountain West,0.5,0.4166666666666667,0.5912379641367415,0.8181818181818182,0.4827586206896552,0.34615384615384615,0.20532105287442895,0.23038685832675523,0.3333333333333333,4,1,1,1,1,0,0,0.6,0.25,0.6181649675625579,0.424,,,,,0.43243243243243246,0.06837606837606838,0.2635889798957558,0.36231884057971014,,,,,0.04,0.09090909090909091,0.030346820809248554,0.17788461538461534,,,,,0.08823529411764706,0.16666666666666666,0.06726457399103139,0.17647058823529413,0.0,0.0,0.12162162162162163,0.34615384615384615,2019,0.55
Jace Sternberger,Tight End,Texas A&M,SEC,0.3333333333333333,0.4722222222222222,0.21865374675630145,0.5909090909090909,0.3103448275862069,0.19230769230769232,0.24155623753993763,0.7112005544139038,0.5,3,0,0,1,1,1,0,0.5058823529411764,0.625,0.732159406858202,0.7920000000000001,0.09090909090909091,0.0,0.057971014492753624,0.057971014492753624,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2019,1.0
Kahale Warring,Tight End,San Diego State,Mountain West,0.5,0.5,0.4493787946751754,0.6818181818181818,0.6551724137931034,0.5384615384615384,0.20532105287442895,0.8180147137351794,0.3333333333333333,3,0,1,1,1,0,0,0.3058823529411765,0.1875,0.30583873957367935,0.36800000000000005,,,,,0.21621621621621623,0.20512820512820512,0.22069992553983622,0.6183574879227054,,,,,0.02,0.18181818181818182,0.017341040462427744,0.16826923076923075,,,,,,,,,,,,,2019,0.55
Dawson Knox,Tight End,Ole Miss,SEC,0.3333333333333333,0.5555555555555556,,0.5454545454545454,0.5172413793103449,,0.41427340757517916,0.787901305782284,0.3333333333333333,2,0,0,1,1,0,0,0.10588235294117647,0.0,0.21872103799814643,1.0,,,,,0.29252782193958665,0.0,0.28592702903946393,0.5990338164251208,,,,,,,,,,,,,,,,,,,,,2019,1.0
