collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeamId,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade
514711.0,46852,344,Mississippi State,SEC,28,Washington,2015,38,2,6,Preston Smith,Defensive End,77.0,271,43.0,4.0,86.0
-1010966.0,46835,52,Florida State,ACC,3,Chicago,2015,39,2,7,Eddie Goldman,Defensive Tackle,76.0,336,26.0,3.0,89.0
2971433.0,46868,142,Missouri,SEC,10,Tennessee,2015,40,2,8,Dorial Green-Beckham,Wide Receiver,77.0,237,59.0,11.0,80.0
535145.0,46849,130,Michigan,Big Ten,29,Carolina,2015,41,2,9,Devin Funchess,Wide Receiver,76.0,232,40.0,9.0,87.0
517218.0,46854,99,LSU,SEC,1,Atlanta,2015,42,2,10,Jalen Collins,Cornerback,74.0,203,45.0,5.0,85.0
-1022086.0,46871,344,Mississippi State,SEC,34,Houston,2015,43,2,11,Benardrick McKinney,Inside Linebacker,76.0,246,62.0,4.0,80.0
2509488.0,46851,264,Washington,Pac-12,18,New Orleans,2015,44,2,12,Hau'Oli Kikaha,Outside Linebacker,74.0,253,42.0,6.0,86.0
500349.0,46838,26,UCLA,Pac-12,16,Minnesota,2015,45,2,13,Eric Kendricks,Inside Linebacker,72.0,232,29.0,1.0,88.0
2509844.0,46908,2535,Samford,Southern,25,San Francisco,2015,46,2,14,Jaquiski Tartt,Safety,73.0,221,99.0,5.0,69.0
516284.0,46863,254,Utah,Pac-12,21,Philadelphia,2015,47,2,15,Eric Rowe,Cornerback,73.0,205,54.0,6.0,82.0
517587.0,46850,2390,Miami,ACC,24,Los Angeles,2015,48,2,16,Denzel Perryman,Inside Linebacker,71.0,236,41.0,2.0,87.0
-1022442.0,46900,142,Missouri,SEC,12,Kansas City,2015,49,2,17,Mitch Morse,Offensive Guard,77.0,305,91.0,5.0,70.0
530289.0,46869,52,Florida State,ACC,2,Buffalo,2015,50,2,18,Ronald Darby,Cornerback,71.0,193,60.0,8.0,80.0
-1040024.0,46876,254,Utah,Pac-12,5,Cleveland,2015,51,2,19,Nate Orchard,Outside Linebacker,75.0,250,67.0,7.0,78.0
-1027509.0,46855,201,Oklahoma,Big 12,15,Miami,2015,52,2,20,Jordan Phillips,Defensive Tackle,77.0,329,46.0,4.0,85.0
